Model,Brand,Price_USD,Release_Year,Camera_MP,Battery_mAh,RAM_GB,Storage_GB,Chipset,Performance_Level,5G,Display_Size_inch,Display_Type,Weight_g
Poco 72,Xiaomi,586,2021,48,5044,6,512,Dimensity 900,Mid-range,Yes,6.03,IPS LCD,240
iPhone 21,Apple,383,2023,64,5518,16,128,Snapdragon 778G,High-end,Yes,6.47,AMOLED,224
C 58,Realme,917,2022,48,4684,12,128,Snapdragon 8 Gen 2,Flagship,Yes,6.35,OLED,228
P 88,Huawei,782,2021,50,4239,6,128,Dimensity 900,Mid-range,Yes,6.4,IPS LCD,178
Reno 55,Oppo,598,2023,108,5398,8,256,Apple A15 Bionic,High-end,Yes,6.3,IPS LCD,204
P 21,Huawei,946,2022,12,5241,16,64,Snapdragon 8 Gen 2,Flagship,Yes,6.02,AMOLED,215
Nord 5,OnePlus,476,2019,12,5771,12,128,Apple A16 Bionic,Flagship,Yes,6.65,IPS LCD,155
Galaxy M 85,Samsung,709,2022,200,5966,6,512,Helio G99,Budget,Yes,5.93,IPS LCD,206
Poco 77,Xiaomi,741,2019,64,5656,16,512,Dimensity 1080,Mid-range,Yes,6.44,AMOLED,204
Find 72,Oppo,184,2024,48,4266,8,512,Helio G99,Budget,Yes,5.85,OLED,214
X 40,Vivo,945,2022,48,4377,6,512,Helio G88,Budget,Yes,6.44,AMOLED,217
Reno 93,Oppo,293,2020,48,5104,8,256,Snapdragon 695,Mid-range,Yes,6.3,IPS LCD,240
X 42,Nokia,458,2021,50,4003,12,64,Snapdragon 695,Mid-range,Yes,6.63,IPS LCD,234
Galaxy A 79,Samsung,625,2020,50,5547,6,128,Apple A15 Bionic,High-end,Yes,6.71,IPS LCD,180
Galaxy M 70,Samsung,522,2023,108,4327,4,128,Apple A16 Bionic,Flagship,Yes,6.25,OLED,189
Edge 34,Motorola,1058,2024,48,3641,6,256,Snapdragon 778G,High-end,Yes,6.85,IPS LCD,223
X 72,Vivo,1116,2019,64,4638,4,64,Dimensity 1080,Mid-range,Yes,6.58,IPS LCD,170
Find 84,Oppo,979,2024,200,4937,4,64,Apple A15 Bionic,High-end,Yes,5.64,IPS LCD,226
Edge 70,Motorola,674,2020,50,5285,16,512,Apple A16 Bionic,Flagship,Yes,5.71,IPS LCD,183
X 14,Vivo,249,2021,108,4888,6,64,Apple A16 Bionic,Flagship,Yes,6.15,IPS LCD,232
Poco 18,Xiaomi,542,2020,50,5237,16,512,Dimensity 1080,Mid-range,Yes,5.92,IPS LCD,175
OnePlus 71,OnePlus,301,2023,50,4271,6,256,Dimensity 900,Mid-range,Yes,6.49,OLED,225
Redmi Note 45,Xiaomi,523,2020,108,4368,8,64,Apple A16 Bionic,Flagship,Yes,6.44,AMOLED,165
G 37,Nokia,785,2022,200,5724,8,64,Helio G99,Budget,Yes,6.57,IPS LCD,156
Y 66,Vivo,220,2020,64,3688,16,512,Dimensity 900,Mid-range,No,5.99,OLED,172
Reno 7,Oppo,733,2019,48,5300,12,128,Helio G88,Budget,Yes,6.64,OLED,185
GT 27,Realme,736,2022,108,5173,4,256,Helio G99,Budget,Yes,6.78,AMOLED,232
Y 21,Vivo,150,2022,12,4695,16,64,Dimensity 1080,Mid-range,No,6.22,OLED,230
Find 93,Oppo,330,2021,50,4169,8,64,Helio G88,Budget,Yes,6.19,OLED,237
GT 51,Realme,252,2022,50,4558,6,512,Apple A15 Bionic,High-end,Yes,5.8,IPS LCD,154
Galaxy S 96,Samsung,745,2024,108,3570,8,64,Helio G99,Budget,Yes,6.57,OLED,163
C 21,Realme,631,2020,50,5392,12,256,Snapdragon 695,Mid-range,Yes,6.37,AMOLED,164
Galaxy M 64,Samsung,1077,2022,48,5158,4,128,Helio G99,Budget,Yes,6.16,AMOLED,151
Edge 77,Motorola,713,2021,200,3611,4,256,Snapdragon 778G,High-end,Yes,5.8,AMOLED,183
iPhone 55,Apple,1105,2022,48,5146,4,64,Dimensity 1080,Mid-range,Yes,6.16,AMOLED,200
G 71,Nokia,273,2021,64,4342,12,64,Apple A15 Bionic,High-end,Yes,6.33,IPS LCD,155
Nord 78,OnePlus,850,2021,50,4840,12,64,Apple A16 Bionic,Flagship,Yes,5.75,IPS LCD,170
Galaxy S 88,Samsung,524,2024,50,5160,6,64,Dimensity 1080,Mid-range,Yes,6.68,OLED,170
OnePlus 53,OnePlus,789,2023,48,3770,6,64,Snapdragon 8 Gen 2,Flagship,Yes,6.78,AMOLED,229
Y 99,Vivo,749,2019,48,3940,8,128,Dimensity 1080,Mid-range,Yes,6.13,OLED,226
iPhone 79,Apple,956,2022,50,4407,16,64,Snapdragon 695,Mid-range,Yes,6.65,AMOLED,187
Galaxy S 42,Samsung,787,2021,12,5194,16,512,Snapdragon 695,Mid-range,Yes,6.56,OLED,172
Galaxy M 16,Samsung,447,2019,64,3553,12,256,Dimensity 900,Mid-range,Yes,6.48,IPS LCD,212
G 48,Motorola,859,2020,108,4487,8,256,Apple A16 Bionic,Flagship,Yes,5.55,AMOLED,223
P 49,Huawei,1136,2020,108,3565,12,64,Snapdragon 8 Gen 1,Flagship,Yes,5.97,IPS LCD,153
OnePlus 47,OnePlus,407,2024,200,3732,6,128,Dimensity 900,Mid-range,Yes,5.59,OLED,220
Nova 94,Huawei,296,2023,64,3683,12,128,Dimensity 1080,Mid-range,Yes,6.85,AMOLED,218
Find 73,Oppo,707,2021,108,5233,4,256,Helio G99,Budget,Yes,5.56,AMOLED,220
Poco 43,Xiaomi,645,2021,12,5800,6,256,Apple A15 Bionic,High-end,Yes,6.74,AMOLED,221
G 36,Nokia,363,2021,64,3517,12,512,Dimensity 900,Mid-range,Yes,5.55,IPS LCD,228
Y 46,Vivo,403,2024,48,5555,12,128,Dimensity 1080,Mid-range,Yes,6.1,IPS LCD,191
X 36,Vivo,1068,2022,108,4388,6,512,Snapdragon 695,Mid-range,Yes,5.67,OLED,198
G 42,Nokia,1195,2019,12,5275,12,512,Apple A15 Bionic,High-end,Yes,6.78,AMOLED,228
C 67,Realme,1151,2021,108,4255,8,128,Apple A16 Bionic,Flagship,Yes,6.76,AMOLED,172
Reno 75,Oppo,819,2019,50,4074,16,256,Snapdragon 695,Mid-range,Yes,5.6,IPS LCD,176
Nord 25,OnePlus,874,2019,200,5890,6,64,Dimensity 1080,Mid-range,Yes,6.53,OLED,210
Poco 1,Xiaomi,520,2022,64,5341,4,512,Helio G88,Budget,Yes,6.0,OLED,188
Galaxy S 97,Samsung,430,2022,64,4330,8,64,Apple A15 Bionic,High-end,Yes,6.8,OLED,154
GT 59,Realme,327,2019,12,4592,12,128,Dimensity 1080,Mid-range,Yes,5.95,AMOLED,238
P 15,Huawei,1133,2022,200,3802,16,64,Dimensity 900,Mid-range,Yes,5.72,IPS LCD,174
G 40,Nokia,902,2019,48,5354,12,256,Helio G99,Budget,Yes,6.21,OLED,228
Nord 15,OnePlus,900,2023,12,5967,12,64,Apple A16 Bionic,Flagship,Yes,5.9,OLED,184
Nova 83,Huawei,1056,2024,108,5107,16,128,Dimensity 900,Mid-range,Yes,6.46,OLED,207
Y 6,Vivo,703,2024,64,5537,8,64,Snapdragon 778G,High-end,Yes,6.27,AMOLED,218
P 33,Huawei,1189,2021,50,5200,8,128,Snapdragon 8 Gen 1,Flagship,Yes,6.83,AMOLED,209
GT 74,Realme,623,2023,108,4753,8,256,Helio G88,Budget,Yes,6.76,IPS LCD,162
G 74,Nokia,565,2023,50,5982,16,256,Dimensity 900,Mid-range,Yes,6.09,IPS LCD,172
Poco 85,Xiaomi,320,2024,64,4359,6,128,Apple A15 Bionic,High-end,Yes,5.89,OLED,225
Galaxy S 48,Samsung,659,2023,108,4002,12,512,Snapdragon 8 Gen 1,Flagship,Yes,6.55,OLED,186
Galaxy S 9,Samsung,815,2021,108,4664,4,512,Apple A16 Bionic,Flagship,Yes,6.51,OLED,183
Nova 51,Huawei,362,2021,108,4175,4,256,Dimensity 1080,Mid-range,Yes,6.6,AMOLED,236
Find 39,Oppo,480,2020,200,5370,4,512,Dimensity 1080,Mid-range,Yes,5.76,IPS LCD,155
iPhone 58,Apple,1197,2023,48,5511,4,256,Snapdragon 778G,High-end,Yes,6.04,AMOLED,158
Find 58,Oppo,856,2023,12,4164,4,512,Snapdragon 8 Gen 1,Flagship,Yes,6.48,AMOLED,168
iPhone 32,Apple,318,2022,200,3844,6,64,Apple A16 Bionic,Flagship,Yes,5.78,AMOLED,192
Nord 39,OnePlus,177,2022,48,4534,6,256,Apple A15 Bionic,High-end,No,6.43,OLED,163
iPhone 91,Apple,798,2021,48,4255,16,64,Snapdragon 8 Gen 1,Flagship,Yes,6.31,AMOLED,233
OnePlus 58,OnePlus,365,2022,200,4575,16,512,Snapdragon 8 Gen 2,Flagship,Yes,6.76,OLED,212
Edge 96,Motorola,697,2021,12,3907,4,256,Apple A16 Bionic,Flagship,Yes,6.56,AMOLED,180
Find 41,Oppo,981,2021,108,5039,4,256,Snapdragon 8 Gen 1,Flagship,Yes,5.65,AMOLED,186
Find 3,Oppo,282,2023,50,4865,6,64,Apple A15 Bionic,High-end,Yes,5.86,IPS LCD,193
Y 15,Vivo,1019,2024,200,4281,8,512,Snapdragon 695,Mid-range,Yes,6.57,IPS LCD,175
Nord 97,OnePlus,1038,2022,64,5774,16,512,Snapdragon 8 Gen 1,Flagship,Yes,5.91,AMOLED,185
Find 4,Oppo,408,2022,64,5832,4,128,Helio G99,Budget,Yes,5.99,OLED,181
iPhone 93,Apple,734,2022,64,4833,12,512,Apple A16 Bionic,Flagship,Yes,6.19,AMOLED,178
Find 96,Oppo,374,2021,108,4912,16,128,Dimensity 1080,Mid-range,Yes,5.75,OLED,206
GT 48,Realme,721,2022,200,3794,16,256,Dimensity 900,Mid-range,Yes,6.49,OLED,225
Galaxy A 8,Samsung,1012,2020,12,5361,6,512,Apple A15 Bionic,High-end,Yes,5.54,OLED,186
X 75,Vivo,392,2021,108,5895,12,512,Snapdragon 8 Gen 1,Flagship,Yes,5.92,IPS LCD,155
C 39,Realme,1055,2023,12,3638,12,512,Dimensity 900,Mid-range,Yes,6.4,OLED,160
OnePlus 20,OnePlus,1129,2023,12,5461,12,512,Snapdragon 8 Gen 2,Flagship,Yes,6.83,OLED,180
C 71,Realme,207,2019,108,3561,16,128,Apple A16 Bionic,Flagship,No,6.32,IPS LCD,195
Poco 96,Xiaomi,552,2023,50,4363,6,64,Dimensity 900,Mid-range,Yes,6.7,AMOLED,192
X 72,Vivo,854,2020,108,5317,16,64,Snapdragon 8 Gen 2,Flagship,Yes,6.69,IPS LCD,189
X 23,Vivo,710,2022,50,5002,12,256,Snapdragon 8 Gen 2,Flagship,Yes,6.63,AMOLED,157
Galaxy M 23,Samsung,830,2024,200,4363,6,512,Snapdragon 778G,High-end,Yes,5.88,AMOLED,233
C 77,Realme,1164,2021,50,5946,12,64,Apple A16 Bionic,Flagship,Yes,6.37,OLED,206
Edge 42,Motorola,150,2022,48,4561,16,512,Snapdragon 695,Mid-range,Yes,5.71,IPS LCD,189
X 63,Nokia,1011,2021,50,4943,8,512,Apple A15 Bionic,High-end,Yes,6.8,OLED,159
Find 33,Oppo,507,2024,12,3808,6,128,Dimensity 1080,Mid-range,Yes,5.71,IPS LCD,206
